learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
78000.0,1.230889447,6.027280521893667E-9,78000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,78000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
79000.0,1.24263142,6.084777290042903E-9,79000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,79000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80000.0,1.254347746,6.142148472857143E-9,80000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,80000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81000.0,1.268787993,6.212857844593624E-9,81000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,81000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
82000.0,1.280849148,6.271917547136545E-9,82000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,82000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
83000.0,1.292245346,6.3277211632910695E-9,83000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,83000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
84000.0,1.30383105,6.3844527310381325E-9,84000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,84000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
85000.0,1.315597598,6.4420698352737555E-9,85000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,85000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
86000.0,1.327156396,6.498669652756717E-9,86000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,86000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
87000.0,1.338794548,6.555658041950729E-9,87000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,87000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
